date,price_usd,volume_btc,num_trades,source
2011-06-18,16.03839744,35536.552,5509,mtgox
2011-06-19,17.77088569,30176.739,4430,mtgox
2011-06-20,,,0,none
2011-06-21,,,0,none
2011-06-22,,,0,none
2011-06-23,,,0,none
2011-06-24,,,0,none
2011-06-25,,,0,none
2011-06-26,15.58542156,15053.92692713,1992,mtgox
2011-06-27,17.01281658,31452.54447941,5697,mtgox
2011-06-28,16.92883611,24398.1463737,4296,mtgox
2011-06-29,16.88432919,21043.3694136,4251,mtgox
2011-06-30,16.50817823,34961.1896034,6269,mtgox
2011-07-01,15.89923956,33284.45294249,4961,mtgox
2011-07-02,15.53133272,19453.23750588,2977,mtgox
2011-07-03,15.47588674,16792.28530273,2697,mtgox
2011-07-04,14.47890561,52276.98903608,6865,mtgox
2011-07-05,12.8007934,84081.15245614,11045,mtgox
2011-07-06,14.80365285,111818.32278654,12493,mtgox
2011-07-07,15.15545202,54465.69644076,8416,mtgox
2011-07-08,14.34990889,34853.41816622,8047,mtgox
2011-07-09,14.38633201,11909.16985706,4332,mtgox
2011-07-10,15.08031023,45284.42393756,7398,mtgox
2011-07-11,14.37057291,49160.01060266,8700,mtgox
2011-07-12,14.15159337,26356.50591301,5200,mtgox
2011-07-13,14.02882825,10338.14554788,2615,mtgox
2011-07-14,13.92786054,17661.15566677,3309,mtgox
2011-07-15,13.89961571,24819.54208343,3170,mtgox
2011-07-16,13.62003181,17264.49479167,2781,mtgox
2011-07-17,13.33829475,34375.47258845,5589,mtgox
2011-07-18,13.02966206,75896.30773935,8107,mtgox
2011-07-19,14.03591725,67575.61324902,9973,mtgox
2011-07-20,13.69115924,23177.89842929,4138,mtgox
2011-07-21,13.656585,25018.37149466,3231,mtgox
2011-07-22,13.65220935,15165.61506635,3181,mtgox
2011-07-23,13.64382107,22455.59780553,4645,mtgox
2011-07-24,13.86163373,26623.25582661,4431,mtgox
2011-07-25,14.19588863,31577.95972877,6471,mtgox
2011-07-26,13.90896108,16793.85559615,3310,mtgox
2011-07-27,13.95866131,11508.6635387,2094,mtgox
2011-07-28,13.61374836,32738.27075718,3488,mtgox
2011-07-29,13.5061149,7257.50747383,5095,mtgox
2011-07-30,13.52969492,6104.38329931,4291,mtgox
2011-07-31,13.51900743,45723.43823788,5621,mtgox
2011-08-01,13.16773443,21748.08591421,3479,mtgox
2011-08-02,12.39395257,57242.68767529,6494,mtgox
2011-08-03,10.45139068,90287.3312127,10081,mtgox
2011-08-04,10.57761934,50094.10311742,5930,mtgox
2011-08-05,10.26685684,30765.68959081,4606,mtgox
2011-08-06,7.82345048,102411.72730006,8395,mtgox
2011-08-07,7.72336167,89830.95784584,8701,mtgox
2011-08-08,7.74244978,34042.22082521,4277,mtgox
2011-08-09,9.71518135,114472.77523409,12059,mtgox
2011-08-10,10.00222549,24254.45049218,4615,mtgox
2011-08-11,9.47400867,58114.56411895,6890,mtgox
2011-08-12,9.31609586,41592.12006299,5171,mtgox
2011-08-13,9.79655412,29759.75833561,3992,mtgox
2011-08-14,10.61413272,44125.49991015,6487,mtgox
2011-08-15,11.30120841,38155.5426874,5230,mtgox
2011-08-16,11.05077099,15325.43631322,3305,mtgox
2011-08-17,10.87855583,22898.68983246,3255,mtgox
2011-08-18,10.9026989,8210.37770942,1782,mtgox
2011-08-19,11.39614212,33721.04965496,4823,mtgox
2011-08-20,11.48565499,9915.00203042,2467,mtgox
2011-08-21,11.37809611,8720.34956776,2782,mtgox
2011-08-22,11.02534183,36996.14352761,5671,mtgox
2011-08-23,11.03478326,12779.50876967,3669,mtgox
2011-08-24,10.94140115,7815.83320439,3026,mtgox
2011-08-25,10.00681475,55485.39230424,4901,mtgox
2011-08-26,8.6538777,83004.36526692,9277,mtgox
2011-08-27,8.62671726,21998.79373208,5312,mtgox
